uid,gid,player,pa,pc,py,ints,ra,sra,ry,trg,rec,recy,fuml,peny
43288,4278,JB-5725,1,0,0,0,0,0,0,0,0,0,0,0
43289,4278,RT-0150,2,1,12,0,1,1,6,0,0,0,0,0
43290,4278,DP-0350,0,0,0,0,0,0,0,1,0,0,0,0
43291,4278,JC-0400,0,0,0,0,0,0,0,1,1,12,0,0
43292,4278,KD-1462,0,0,0,0,1,1,7,0,0,0,0,0
43293,4279,EM-0200,5,2,12,0,3,0,-3,0,0,0,0,0
43294,4279,SV-0200,0,0,0,0,4,2,12,2,2,12,0,0
43295,4279,LD-0650,0,0,0,0,0,0,0,1,0,0,0,0
43296,4279,OB-0075,0,0,0,0,0,0,0,1,0,0,0,0
43297,4279,DB-3800,3,2,14,0,0,0,0,0,0,0,0,0
43298,4279,CF-0650,0,0,0,0,0,0,0,1,0,0,0,0
43299,4279,MI-0100,0,0,0,0,0,0,0,1,1,-3,0,0
43300,4279,WS-0925,0,0,0,0,0,0,0,1,1,17,0,0
43301,4279,VC-0300,0,0,0,0,0,0,0,1,0,0,0,0
43302,4280,CH-5000,0,0,0,0,4,3,15,0,0,0,0,0
43303,4280,SD-0800,0,0,0,0,1,0,-5,0,0,0,0,0
43304,4280,BG-0100,2,0,0,0,1,1,1,0,0,0,0,0
43305,4280,TS-2300,0,0,0,0,0,0,0,1,0,0,0,0
43306,4280,FW-0750,0,0,0,0,2,0,0,0,0,0,0,0
43307,4280,CN-0500,4,3,35,0,1,0,0,0,0,0,0,5
43308,4280,KB-0950,0,0,0,0,0,0,0,2,2,19,0,0
43309,4280,MT-1300,0,0,0,0,4,2,9,0,0,0,0,0
43310,4280,DF-2200,0,0,0,0,0,0,0,1,1,16,0,15
43311,4280,QP-0050,0,0,0,0,0,0,0,1,0,0,0,0
43312,4280,CB-3850,0,0,0,0,0,0,0,1,0,0,0,0
43313,4281,AA-0025,0,0,0,0,1,1,4,0,0,0,0,0
43314,4281,EE-0050,0,0,0,0,0,0,0,1,0,0,0,20
43315,4281,TR-0370,0,0,0,0,1,0,3,1,0,0,0,0
43316,4281,MS-4100,3,1,1,0,0,0,0,0,0,0,0,0
43317,4281,MJ-2250,0,0,0,0,0,0,0,1,1,1,0,0
43318,4281,DH-2450,0,0,0,0,1,1,6,0,0,0,0,0
43319,4281,RM-1500,0,0,0,0,0,0,0,0,0,0,0,10
43320,4281,MM-0912,3,3,19,0,0,0,0,0,0,0,0,0
43321,4281,DM-4300,0,0,0,0,0,0,0,1,1,7,0,0
43322,4281,TS-1262,0,0,0,0,0,0,0,1,1,3,0,0
43323,4281,AJ-0900,0,0,0,0,0,0,0,1,1,9,0,0
43324,4282,CM-2280,0,0,0,0,2,1,2,0,0,0,0,0
43325,4282,TR-0112,0,0,0,0,1,0,0,1,1,11,0,0
43326,4282,RW-3850,4,2,15,0,0,0,0,0,0,0,0,0
43327,4282,JK-0250,0,0,0,0,0,0,0,1,0,0,0,10
43328,4282,TL-1025,0,0,0,0,0,0,0,1,1,4,0,0
43329,4282,WT-0400,0,0,0,0,0,0,0,1,0,0,0,0
43330,4282,TG-1950,0,0,0,0,1,0,-4,0,0,0,0,0
43331,4282,CK-0250,2,1,-2,0,0,0,0,0,0,0,0,0
43332,4282,TA-1050,0,0,0,0,0,0,0,1,1,-2,0,0
43333,4282,KB-1900,0,0,0,0,0,0,0,1,0,0,0,0
43334,4283,DJ-1325,0,0,0,0,2,0,4,1,0,0,0,0
43335,4283,CP-0500,8,3,12,0,0,0,0,0,0,0,0,0
43336,4283,DF-0550,0,0,0,0,0,0,0,1,1,7,0,0
43337,4283,LF-0200,0,0,0,0,0,0,0,3,1,4,0,0
43338,4283,CJ-1700,0,0,0,0,6,5,23,0,0,0,0,0
43339,4283,JG-3700,0,0,0,0,0,0,0,1,0,0,0,0
43340,4283,MF-0950,0,0,0,0,0,0,0,2,1,1,0,0
43341,4283,JW-5650,2,1,19,0,0,0,0,0,0,0,0,0
43342,4283,ME-0600,0,0,0,0,0,0,0,2,1,19,0,0
43343,4283,CS-1950,0,0,0,0,1,0,-3,0,0,0,0,0
43344,4284,DF-1875,0,0,0,0,3,0,8,0,0,0,0,0
43345,4284,MR-2500,6,5,27,1,0,0,0,0,0,0,0,0
43346,4284,MS-0150,0,0,0,0,0,0,0,2,2,4,0,0
43347,4284,LM-1850,0,0,0,0,3,2,19,0,0,0,0,0
43348,4284,TC-2050,0,0,0,0,4,2,23,1,1,1,0,0
43349,4284,JT-0300,0,0,0,0,0,0,0,2,1,14,0,0
43350,4284,DC-0725,6,3,21,0,0,0,0,0,0,0,0,0
43351,4284,AC-2350,0,0,0,0,0,0,0,1,0,0,0,0
43352,4284,AH-3600,0,0,0,0,0,0,0,2,1,6,0,0
43353,4284,MC-2900,0,0,0,0,0,0,0,1,1,2,0,0
43354,4284,JH-1350,0,0,0,0,0,0,0,1,1,8,0,0
43355,4284,JO-0550,0,0,0,0,0,0,0,1,1,13,0,0
43356,4284,SR-0750,0,0,0,0,0,0,0,1,0,0,0,0
43357,4285,CA-0750,0,0,0,0,5,2,8,0,0,0,0,0
43358,4285,TS-1450,3,0,0,1,0,0,0,0,0,0,0,0
43359,4285,ES-0200,0,0,0,0,0,0,0,3,0,0,0,0
43360,4285,DB-2950,0,0,0,0,1,1,5,0,0,0,0,0
43361,4285,RT-1950,0,0,0,0,2,2,7,1,0,0,0,0
43362,4285,FG-0200,0,0,0,0,1,0,1,1,1,7,0,0
43363,4285,AL-1100,6,3,20,0,0,0,0,0,0,0,0,5
43364,4285,JD-2550,0,0,0,0,0,0,0,1,1,3,0,0
43365,4285,TH-1850,0,0,0,0,0,0,0,2,1,10,0,0
43366,4286,MG-1150,0,0,0,0,8,4,20,1,1,4,0,0
43367,4286,PR-0300,10,6,36,0,0,0,0,0,0,0,1,0
43368,4286,TW-2875,0,0,0,0,0,0,0,3,2,17,0,0
