player,fname,lname,pname,pos1,pos2,height,weight,yob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp
AP-2100,Alfred,Pupunu,A.Pupunu,TE,,74,260,1969,0,0,0,0,0,0,0,0,0,Weber State,Big Sky,1992,INA,INA,0,0
AQ-0100,Andrew,Quarless,A.Quarless,TE,,76,252,1988,4.68,23,32,119,4.57,7.29,34,10.25,154,Penn State,Big Ten,2010,INA,INA,0,0
AR-0100,Andre,Ramsey,A.Ramsey,OL,,77,322,1987,5.43,26,25,0,0,0,0,0,0,Ball State,Mid-American (MAC),2009,INA,INA,0,0
AR-0200,Antwaan,Randle El,A.Randle El,WR,RB,70,192,1979,4.49,0,0,0,0,0,0,0,62,Indiana,Big Ten,2002,INA,INA,0,0
AR-0300,Anthony,Redmon,A.Redmon,OL,,77,308,1971,0,0,0,0,0,0,0,0,139,Auburn,Southeastern (SEC),1994,INA,INA,0,0
AR-0325,Adam,Redmond,A.Redmond,OL,,78,290,1993,5.19,24,28,99,4.64,7.51,0,0,0,Harvard,Ivy League,2016,INA,INA,0,0
AR-0350,Alex,Redmond,A.Redmond,OL,,77,294,1995,5.26,30,28,111,4.9,7.75,0,0,0,UCLA,Pacific 12,2016,CIN,PS,62,3
AR-0400,Andre,Reed,A.Reed,WR,,74,190,1964,0,0,0,0,0,0,0,0,86,Kutztown,,1985,INA,INA,0,0
AR-0500,Allen,Reese,A.Reese,DL,,70,294,1980,0,0,0,0,0,0,0,0,0,Kansas State,Big 12,2003,INA,INA,0,0
AR-0600,Allen,Reisner,A.Reisner,TE,,74,255,1988,4.9,15,30.5,110,4.59,7.2,0,0,0,Iowa,Big Ten,2011,INA,INA,0,0
AR-0625,Austin,Reiter,A.Reiter,OL,,75,300,1991,5.17,0,34,107,4.53,7.65,0,0,222,South Florida,American Athletic,2015,CLE,C,0,2
AR-0650,Adam,Replogle,A.Replogle,DL,,75,294,1990,5.09,38,31.5,106,4.71,7.62,0,0,0,Indiana,Big Ten,2013,INA,INA,0,0
AR-0700,Alan,Reuber,A.Reuber,OL,,78,323,1981,5.49,29,29,100,4.82,7.82,0,0,0,Texas A&M,Big 12,2004,INA,INA,0,0
AR-0800,Alan,Ricard,A.Ricard,RB,,71,237,1977,0,0,0,0,0,0,0,0,0,Louisiana-Monroe,FBS Independents,2001,INA,INA,0,0
AR-0850,Antonio,Richardson,A.Richardson,OL,,78,336,1992,5.21,36,31,112,5.06,8.04,0,0,0,Tennessee,Southeastern (SEC),2014,INA,INA,0,0
AR-0875,Aaron,Ripkowski,A.Ripkowski,RB,,73,238,1992,4.7,0,33,113,4.33,7.59,0,0,206,Oklahoma,Big 12,2015,GB,FB,22,1
AR-0900,Andre,Rison,A.Rison,WR,,73,188,1967,0,0,0,0,0,0,0,0,22,Michigan State,Big Ten,1989,INA,INA,0,0
AR-1000,Austin,Robbins,A.Robbins,DL,,78,290,1971,0,0,0,0,0,0,0,0,120,North Carolina,Atlantic Coast (ACC),1994,INA,INA,0,0
AR-1100,Andre,Roberts,A.Roberts,WR,,71,195,1988,4.4,15,36,120,4.15,6.77,31.5,9.5,88,Citadel,Southern,2010,DET,RWR,19,2
AR-1115,A'Shawn,Robinson,A.Robinson,DL,,76,307,1995,5.13,22,26,106,4.74,7.8,34.5,10.5,46,Alabama,Southeastern (SEC),2016,DET,LDT,91,2
AR-1130,Adrian,Robinson,A.Robinson,LB,,73,250,1989,4.71,25,32.5,119,4.33,7.31,0,0,0,Temple,Mid-American (MAC),2012,INA,INA,0,0
AR-1160,Adrien,Robinson,A.Robinson,TE,,76,264,1988,4.56,15,39.5,135,4.43,7.1,0,0,127,Cincinnati,Big East,2012,INA,INA,0,0
AR-1200,Aldrick,Robinson,A.Robinson,WR,,70,184,1988,4.35,17,40,126,4.09,6.65,29.5,8.75,178,SMU,Conference USA (C-USA),2011,ATL,RWR,19,2
AR-1250,Allen,Robinson,A.Robinson,WR,,75,220,1993,4.57,0,42,131,4,6.54,32,9.5,61,Penn State,Big Ten,2014,JAC,LWR,15,1
AR-1300,Aaron,Rodgers,A.Rodgers,QB,,74,225,1983,4.71,0,34.5,110,4.32,7.12,32.625,9.375,24,California,Pacific 10,2005,GB,QB,12,1
AR-1400,Antrel,Rolle,A.Rolle,DB,,72,206,1982,4.5,15,37,123,4.01,6.68,0,0,8,Miami (FL),Atlantic Coast (ACC),2005,INA,INA,0,0
AR-1450,Aldrick,Rosas,A.Rosas,K,,74,195,1994,5.12,0,0,0,0,0,0,0,0,Southern Oregon,,2016,INA,INA,0,0
AR-1500,Aaron,Ross,A.Ross,DB,,72,197,1982,4.44,17,34,118,4.15,6.72,0,0,20,Texas,Big 12,2007,INA,INA,0,0
