pid,psr,trg,loc,yds,comp,succ,spk,dfb
698359,DB-3800,BC-2325,SM,15,1,1,0,
698362,DC-0725,MC-2900,SL,0,0,0,0,
698365,DC-0725,DW-1350,SM,10,1,0,0,
698367,DB-3800,MT-0875,SR,7,1,1,0,
698370,DB-3800,TC-0050,SR,0,0,0,0,
698372,DB-3800,TC-0050,SR,0,0,0,0,
698373,DB-3800,TC-0050,SR,6,1,1,0,
698374,DB-3800,BC-2325,DL,0,0,0,0,
698377,DC-0725,CW-0225,SM,9,1,1,0,
698379,DC-0725,SR-0750,SR,9,1,1,0,
698380,DC-0725,MC-2900,SR,8,1,1,0,
698381,DC-0725,,NL,0,0,0,1,
698382,DC-0725,CW-0225,SR,-2,1,0,0,
698383,DC-0725,AC-2350,SL,21,1,1,0,
698387,DC-0725,AC-2350,SM,0,0,0,0,
698391,DB-3800,BC-2325,SR,7,1,0,0,
698392,DB-3800,MT-0875,SR,4,1,0,0,
698394,DC-0725,MC-2900,SR,6,1,1,0,
698395,DC-0725,MC-2900,SR,7,1,1,0,
698398,DC-0725,AC-2350,SR,0,0,0,0,
698400,DC-0725,AC-2350,SL,0,0,0,0,
698402,DB-3800,BC-2325,DL,98,1,1,0,
698406,DC-0725,LM-1850,SM,13,1,1,0,
