gid,pid,off,def,type,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,zone,fd,sg,nh,pts,tck,sk,pen,ints,fum,saf,blk,olid
4257,697296,DEN,CAR,RUSH,2,44,4,13,25,14,17,3,3,2,1,86,5,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697297,DEN,CAR,RUSH,3,32,4,12,41,14,17,3,3,3,1,86,5,1,1,0,0,1,0,0,0,0,0,0,2034
4257,697298,DEN,CAR,RUSH,4,35,4,12,9,14,17,3,3,1,10,89,5,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697299,DEN,CAR,PASS,5,5,4,11,34,14,17,3,3,2,7,92,5,0,1,0,0,0,0,0,0,0,0,0,2034
4257,697300,DEN,CAR,PASS,6,43,4,11,29,14,17,3,3,3,7,92,5,0,1,0,0,1,0,0,0,0,0,0,2034
4257,697301,DEN,CAR,RUSH,7,26,4,10,46,14,17,3,2,4,1,98,5,1,0,0,0,1,0,0,0,0,0,0,2034
4257,697302,DEN,CAR,PASS,8,4,4,10,20,14,17,3,2,1,1,99,5,0,0,0,0,0,0,0,0,0,0,0,2034
4257,697303,DEN,CAR,RUSH,9,46,4,10,16,14,17,3,2,2,1,99,5,0,0,0,0,1,0,0,0,0,0,0,2034
4257,697304,DEN,CAR,RUSH,10,4,4,9,30,14,17,2,2,3,1,99,5,1,1,0,7,0,0,0,0,0,0,0,2034
4257,697305,DEN,CAR,FGXP,10,3,4,9,26,21,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697306,CAR,DEN,KOFF,0,6,4,9,26,17,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4257,697307,CAR,DEN,RUSH,1,35,4,9,26,17,21,2,2,1,10,25,2,0,1,0,0,1,0,0,0,0,0,0,2035
4257,697308,CAR,DEN,RUSH,2,44,4,8,52,17,21,2,2,2,5,30,2,0,0,1,0,1,0,0,0,0,0,0,2035
