uid,gid,player,pa,pc,py,ints,tdp,ra,sra,ry,tdr,trg,rec,recy,tdrec,ret,rety,tdret,fuml,peny,conv,snp,fp,fp2,fp3,game,seas,year,team,posd,jnum,dcp
88673,4261,BC-0700,0,0,0,0,0,0,0,0,0,1,1,11,0,0,0,0,0,10,0,38,1.1,1.6,2.1,1,10,2016,PHI,TE,87,1
88674,4261,RG-1850,26,12,190,1,0,5,1,37,0,0,0,0,0,0,0,0,0,0,0,51,9.3,10.3,9.3,1,5,2016,CLE,QB,10,1
88675,4261,GB-0200,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,51,0,0,0,1,9,2016,CLE,TE,82,1
88676,4261,IC-0300,0,0,0,0,0,12,6,62,1,2,2,16,0,0,0,0,0,0,0,30,13.8,14.8,15.8,1,3,2016,CLE,RB,34,1
88677,4261,DS-3300,0,0,0,0,0,5,2,12,0,5,2,24,0,6,78,0,0,0,0,38,3.6,4.6,5.6,1,12,2016,PHI,RB,43,2
88678,4261,JH-5750,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,29,0,0,0,1,3,2016,PHI,LWR,13,1
88679,4261,DJ-1850,0,0,0,0,0,3,1,22,0,5,3,28,0,0,0,0,0,0,0,23,5,6.5,8,1,2,2016,CLE,RB,29,2
88680,4261,MJ-1175,0,0,0,0,0,0,0,0,0,2,2,9,0,0,0,0,0,0,0,10,0.9,1.9,2.9,1,2,2016,CLE,FB,42,1
88681,4261,AH-1900,0,0,0,0,0,1,0,-1,0,3,0,0,0,0,0,0,0,0,0,33,-0.1,-0.1,-0.1,1,6,2016,CLE,LWR,16,2
88682,4261,TP-2400,0,0,0,0,0,0,0,0,0,7,3,68,0,0,0,0,0,5,0,46,6.8,8.3,9.8,1,6,2016,CLE,RWR,11,1
88683,4261,CC-3650,0,0,0,0,0,0,0,0,0,5,2,69,0,0,0,0,0,0,0,47,6.9,7.9,8.9,1,1,2016,CLE,LWR,19,1
88684,4261,WS-0650,0,0,0,0,0,1,0,1,0,0,0,0,0,1,23,0,0,0,0,2,0.1,0.1,0.1,1,1,2016,PHI,RB,28,4
88685,4261,NA-0050,0,0,0,0,0,0,0,0,0,5,4,57,1,0,0,0,0,0,0,67,11.7,13.7,15.7,1,2,2016,PHI,RWR,17,1
88686,4261,DG-2650,0,0,0,0,0,0,0,0,0,2,2,14,0,0,0,0,0,0,0,25,1.4,2.4,3.4,1,2,2016,PHI,LWR,18,2
88687,4262,CG-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,0,0,0,0,0,0,0,0,1,2,2016,JAC,RB,33,4
88688,4262,TY-0150,0,0,0,0,0,21,9,39,1,6,4,30,0,0,0,0,0,0,0,63,12.9,14.9,16.9,1,2,2016,JAC,RB,24,1
88689,4262,BB-2425,39,24,320,1,1,2,0,2,0,0,0,0,0,0,0,0,0,5,0,72,15,16,18,1,3,2016,JAC,QB,5,1
88690,4262,AR-1250,0,0,0,0,0,0,0,0,0,15,6,72,0,0,0,0,0,0,0,69,7.2,10.2,13.2,1,3,2016,JAC,LWR,15,1
88691,4262,ML-0650,0,0,0,0,0,0,0,0,0,4,2,22,0,0,0,0,0,0,0,36,2.2,3.2,4.2,1,3,2016,JAC,RWR,11,2
88692,4262,EL-0010,0,0,0,0,0,14,6,61,0,2,1,17,0,0,0,0,0,0,0,36,7.8,8.3,8.8,1,4,2016,GB,RB,27,1
88693,4262,AR-1300,34,20,199,0,2,4,3,16,1,0,0,0,0,0,0,0,0,10,0,64,23.56,23.56,23.56,1,12,2016,GB,QB,12,1
88694,4262,RC-1500,0,0,0,0,0,3,2,11,0,8,6,57,0,0,0,0,0,0,0,62,6.8,9.8,12.8,1,6,2016,GB,RWR,18,1
88695,4262,JT-2000,0,0,0,0,0,0,0,0,0,5,5,64,1,0,0,0,0,0,0,56,12.4,14.9,17.4,1,6,2016,JAC,TE,80,1
88696,4262,RR-1050,0,0,0,0,0,0,0,0,0,3,1,22,0,0,0,0,0,0,0,25,2.2,2.7,3.2,1,3,2016,GB,TE,82,1
