pid,rb,te,drp,mbt,yac
698450,1,1,0,0,0
698451,1,1,0,0,12
698452,2,1,0,0,1
698455,1,2,0,0,0
698456,1,2,0,0,7
698457,1,1,0,1,0
698458,1,2,0,0,0
698460,1,1,0,0,0
698461,1,1,0,1,6
698462,1,1,0,0,0
698463,1,1,1,0,0
698464,1,2,0,0,0
698466,1,0,0,0,0
698467,1,0,0,1,5
698470,1,1,0,0,0
698471,1,1,0,0,0
698472,1,1,0,0,0
698473,1,1,0,0,0
698474,1,1,0,0,0
698477,1,1,0,0,0
698478,1,2,0,0,2
698479,1,2,0,0,25
698480,1,3,0,0,0
698481,1,1,0,0,0
698482,1,1,0,0,0
698485,1,1,0,0,5
698486,1,1,0,0,0
698487,1,1,0,0,0
698488,1,1,0,1,22
698489,1,1,0,2,0
698491,2,2,0,0,0
698494,1,2,0,0,0
698495,1,3,0,0,0
698496,1,1,0,0,2
698497,2,1,0,0,0
698498,0,2,0,0,0
698501,1,1,0,0,0
698503,2,1,0,0,2
698504,2,1,0,0,0
698505,1,1,1,0,0
698506,1,1,0,0,5
698507,1,2,0,0,8
698508,1,1,0,0,0
698509,2,2,0,2,0
698510,1,1,0,1,2
698511,1,2,0,0,0
698512,1,1,0,0,0
698513,1,1,0,0,0
698514,1,1,0,1,0
698515,2,2,0,2,0
698518,1,2,0,0,0
698519,1,1,0,0,0
698521,1,1,0,0,0
698523,1,1,0,0,0
698524,2,1,0,0,0
698526,1,1,0,0,11
698527,1,1,0,0,3
698528,1,2,0,1,1
698529,1,1,0,0,0
698532,1,3,0,0,0
698533,1,1,0,0,0
698534,2,0,0,0,0
698535,1,3,0,0,0
698536,1,1,0,0,10
698537,1,1,0,0,8
698539,2,1,0,0,0
698540,1,1,0,1,2
698541,1,1,0,0,0
698542,1,1,0,0,6
698543,1,1,0,0,9
698545,1,1,0,0,8
698546,1,1,0,0,0
698547,1,1,0,0,0
698549,1,1,0,0,0
698550,1,1,0,0,5
698551,1,1,0,0,0
698552,1,1,0,0,5
698553,1,1,0,0,0
698555,2,1,0,0,0
698557,1,1,0,0,0
698558,1,1,0,1,6
698559,1,1,0,0,0
698560,2,2,0,0,0
698563,1,3,0,0,0
698564,0,3,0,0,3
698565,1,0,0,0,0
698567,1,2,0,0,0
698568,1,2,0,1,0
698569,1,2,0,0,0
698570,1,1,0,0,0
698571,1,1,0,0,2
698572,1,1,0,0,0
698573,1,1,0,0,0
698574,1,1,1,0,0
698577,1,1,0,0,24
